gene	module
TRINITY_DN72188_c0_g3	turquoise
TRINITY_DN99019_c0_g1	turquoise
TRINITY_DN12637_c0_g1	blue
TRINITY_DN15363_c0_g2	turquoise
TRINITY_DN9020_c0_g2	turquoise
TRINITY_DN6659_c0_g1	turquoise
TRINITY_DN132734_c0_g1	blue
TRINITY_DN126604_c1_g1	turquoise
TRINITY_DN3050_c0_g1	turquoise
TRINITY_DN120980_c1_g1	turquoise
TRINITY_DN16940_c0_g1	blue
TRINITY_DN73077_c2_g1	turquoise
TRINITY_DN31055_c1_g1	blue
TRINITY_DN692_c1_g2	turquoise
TRINITY_DN172979_c0_g1	turquoise
TRINITY_DN3358_c0_g2	turquoise
TRINITY_DN29321_c0_g1	blue
TRINITY_DN8014_c2_g1	blue
TRINITY_DN22012_c0_g1	turquoise
TRINITY_DN108322_c2_g1	turquoise
TRINITY_DN68447_c0_g1	blue
TRINITY_DN155942_c0_g1	turquoise
TRINITY_DN181652_c0_g1	turquoise
TRINITY_DN115298_c1_g1	turquoise
TRINITY_DN5523_c5_g1	blue
TRINITY_DN11578_c4_g1	turquoise
TRINITY_DN923_c4_g1	blue
TRINITY_DN118131_c0_g1	turquoise
TRINITY_DN7729_c0_g1	turquoise
TRINITY_DN25424_c0_g1	blue
TRINITY_DN153952_c2_g1	turquoise
TRINITY_DN4176_c1_g1	blue
TRINITY_DN199_c3_g1	turquoise
TRINITY_DN109497_c1_g1	blue
TRINITY_DN20553_c1_g1	blue
TRINITY_DN23017_c1_g2	turquoise
TRINITY_DN6210_c1_g1	turquoise
TRINITY_DN155143_c0_g1	turquoise
TRINITY_DN29261_c0_g1	grey
TRINITY_DN10527_c1_g1	red
TRINITY_DN51530_c0_g1	blue
TRINITY_DN26368_c0_g1	turquoise
TRINITY_DN1496_c2_g1	blue
TRINITY_DN25288_c0_g1	blue
TRINITY_DN44633_c0_g1	turquoise
TRINITY_DN4082_c0_g1	blue
TRINITY_DN6403_c0_g1	turquoise
TRINITY_DN24996_c2_g1	blue
TRINITY_DN118280_c1_g1	turquoise
TRINITY_DN108077_c0_g1	blue
TRINITY_DN87071_c0_g1	turquoise
TRINITY_DN11578_c2_g3	blue
TRINITY_DN38429_c0_g2	turquoise
TRINITY_DN105398_c0_g1	turquoise
TRINITY_DN48947_c0_g1	brown
TRINITY_DN30093_c0_g1	turquoise
TRINITY_DN117545_c0_g1	blue
TRINITY_DN70775_c0_g2	turquoise
TRINITY_DN4177_c1_g2	turquoise
TRINITY_DN75030_c0_g1	turquoise
TRINITY_DN4272_c0_g1	red
TRINITY_DN17568_c0_g1	blue
TRINITY_DN6198_c14_g1	turquoise
TRINITY_DN49817_c0_g2	turquoise
TRINITY_DN3326_c5_g1	turquoise
TRINITY_DN22120_c0_g2	blue
TRINITY_DN176682_c2_g1	blue
TRINITY_DN35074_c0_g1	blue
TRINITY_DN53079_c0_g4	turquoise
TRINITY_DN35748_c0_g1	yellow
TRINITY_DN8314_c1_g1	turquoise
TRINITY_DN934_c0_g1	turquoise
TRINITY_DN19_c1_g1	blue
TRINITY_DN4176_c3_g1	turquoise
TRINITY_DN91411_c0_g1	turquoise
TRINITY_DN100576_c0_g1	turquoise
TRINITY_DN187_c1_g1	turquoise
TRINITY_DN167917_c0_g1	blue
